"","uid","namedLocation","domainID","siteID","plotID","plotType","nlcdClass","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","collectDate","eventID","sampleID","sampleCode","samplingMethod","totalSampledArea","targetTaxaPresent","adultCount","nymphCount","larvaCount","sampleCondition","samplingProtocolVersion","measuredBy","remarks","dataQF"
"1","4e3bdbd8-21da-4160-b4c6-b26138cab8cd","BART_015.tickPlot.tck","D01","BART","BART_015","distributed","mixedForest",44.042149,-71.271603,"WGS84",20.3,455,0.5,"2014-05-15T13:45Z","BART.2014.19",NA,NA,"drag and flag",160,"N",0,0,0,NA,"NEON.DOC.014045vD","D01ECM19","QC: NO ERROR No ticks found. North to Northeast stretch is challenging- many fallen trees and a slope. Proceed with caution.","legacyData"
"2","d9bc3f72-b6fb-48d1-b2e3-1cf4292258b9","BART_002.tickPlot.tck","D01","BART","BART_002","distributed","deciduousForest",44.035231,-71.274674,"WGS84",20.2,502.6,0.3,"2014-05-15T16:35Z","BART.2014.19",NA,NA,"drag and flag",180,"N",0,0,0,NA,"NEON.DOC.014045vD","D01ECM19","QC: NO ERROR; To get to plot: take Attitash trail along the stream. Plot is on the left; one additional stream crossing required after leaving trail.","legacyData"
"3","69fd5a07-b0a7-4d37-b49b-3a6a31e7c5c3","BART_011.tickPlot.tck","D01","BART","BART_011","distributed","mixedForest",44.048783,-71.295353,"WGS84",20.2,399.5,0.2,"2014-06-02T18:32Z","BART.2014.22","BART_011.20140602",NA,"drag and flag",160,"Y",1,0,0,"No known compromise","NEON.DOC.014045vD","D01KAK22","","legacyData"
"4","e9318154-997a-4c3f-8857-55151820f01a","BART_015.tickPlot.tck","D01","BART","BART_015","distributed","mixedForest",44.042149,-71.271603,"WGS84",20.3,455,0.5,"2014-06-02T18:35Z","BART.2014.22","",NA,"drag and flag",165,"N",0,0,0,"","NEON.DOC.014045vD","D01JAH27","QC: NO ERROR JH","legacyData"
"5","85957281-1afe-4b62-bf69-83af9eafc23e","BART_010.tickPlot.tck","D01","BART","BART_010","distributed","deciduousForest",44.0511,-71.267766,"WGS84",20.2,413,0.4,"2014-06-03T14:06Z","BART.2014.22","",NA,"drag and flag",168,"N",0,0,0,"","NEON.DOC.014045vD","D01JAH27","QC: NO ERROR JH","legacyData"
"6","62941d4e-c7ce-474d-8b6a-1a30111089be","BART_002.tickPlot.tck","D01","BART","BART_002","distributed","deciduousForest",44.035231,-71.274674,"WGS84",20.2,502.6,0.3,"2014-06-03T16:24Z","BART.2014.22","",NA,"drag and flag",170,"N",0,0,0,"","NEON.DOC.014045vD","D01EME04","QC: NO ERROR JH","legacyData"
"7","4dcaa298-b4d3-4c73-9123-27c175d70722","BART_019.tickPlot.tck","D01","BART","BART_019","distributed","mixedForest",44.06935,-71.288001,"WGS84",20.2,231.8,0.2,"2014-06-03T18:41Z","BART.2014.22","",NA,"drag and flag",172,"N",0,0,0,"","NEON.DOC.014045vD","D01KAK22","Stream running through W side next to trail--and water running through trail; also stream running through E side of plot","legacyData"
"8","4573aa80-7030-4e74-879f-c46ed68b20b6","BART_002.tickPlot.tck","D01","BART","BART_002","distributed","deciduousForest",44.035231,-71.274674,"WGS84",20.2,502.6,0.3,"2014-07-14T18:30Z","BART.2014.28",NA,NA,"drag and flag",160,"N",0,0,0,NA,"NEON.DOC.014045vD","D01KMA31","QC: NO ERROR","legacyData"
"9","d120e26e-5127-4813-887f-553ba9bdcaf2","BART_010.tickPlot.tck","D01","BART","BART_010","distributed","deciduousForest",44.0511,-71.267766,"WGS84",20.2,413,0.4,"2014-07-14T18:40Z","BART.2014.28",NA,NA,"drag and flag",162,"N",0,0,0,NA,"NEON.DOC.014045vD","D01BAC30","","legacyData"
"10","3ac6e914-4815-4298-ba7a-f6194667fd65","BART_011.tickPlot.tck","D01","BART","BART_011","distributed","mixedForest",44.048783,-71.295353,"WGS84",20.2,399.5,0.2,"2014-07-14T20:06Z","BART.2014.28",NA,NA,"drag and flag",167,"N",0,0,0,NA,"NEON.DOC.014045vD","D01BAC30","","legacyData"
"11","cd314e11-2d7c-45a9-baa4-527a86e41051","BART_019.tickPlot.tck","D01","BART","BART_019","distributed","mixedForest",44.06935,-71.288001,"WGS84",20.2,231.8,0.2,"2014-07-14T21:17Z","BART.2014.28",NA,NA,"drag and flag",160,"N",0,0,0,NA,"NEON.DOC.014045vD","D01BAC30","QC: NO ERROR","legacyData"
"12","947ba5ce-aede-4486-b5cf-1d6af9d7e8c7","BART_015.tickPlot.tck","D01","BART","BART_015","distributed","mixedForest",44.042149,-71.271603,"WGS84",20.3,455,0.5,"2014-07-17T20:40Z","BART.2014.28",NA,NA,"drag and flag",160,"N",0,0,0,NA,"NEON.DOC.014045vD","D01KMA31","possible tick collected; determined not to be a tick in the lab","legacyData"
"13","5cb99b6b-2563-456b-befa-8fabb39b824e","BART_019.tickPlot.tck","D01","BART","BART_019","distributed","mixedForest",44.06935,-71.288001,"WGS84",20.2,231.8,0.2,"2014-08-06T15:38Z","BART.2014.31",NA,NA,"drag and flag",160,"N",0,0,0,NA,"NEON.DOC.014045vD","D01ECM19","road running through flag/drag path that was very wet -3m; also stream running across plot -3m","legacyData"
"14","36bdba08-4051-4524-892a-9efdaa261e25","BART_015.tickPlot.tck","D01","BART","BART_015","distributed","mixedForest",44.042149,-71.271603,"WGS84",20.3,455,0.5,"2014-08-06T17:22Z","BART.2014.31",NA,NA,"drag and flag",163,"N",0,0,0,NA,"NEON.DOC.014045vD","D01EME04","","legacyData"
"15","cd7ea6f7-c43a-456b-a942-da28a639eb37","BART_002.tickPlot.tck","D01","BART","BART_002","distributed","deciduousForest",44.035231,-71.274674,"WGS84",20.2,502.6,0.3,"2014-08-06T18:31Z","BART.2014.31",NA,NA,"drag and flag",161,"N",0,0,0,NA,"NEON.DOC.014045vD","D01EME04","QC: No error EME","legacyData"
"16","f8e6b890-96c9-40b2-a471-71848123c775","BART_010.tickPlot.tck","D01","BART","BART_010","distributed","deciduousForest",44.0511,-71.267766,"WGS84",20.2,413,0.4,"2014-08-06T19:54Z","BART.2014.31",NA,NA,"drag and flag",163,"N",0,0,0,NA,"NEON.DOC.014045vD","D01ECM19","","legacyData"
"17","2ad9e027-3760-4eee-8f2e-3f89b4a28c8e","BART_011.tickPlot.tck","D01","BART","BART_011","distributed","mixedForest",44.048783,-71.295353,"WGS84",20.2,399.5,0.2,"2014-08-07T12:00Z","BART.2014.31",NA,NA,"drag and flag",165,"N",0,0,0,NA,"NEON.DOC.014045vD","D01JRS08","QC: No error EME","legacyData"
"18","7c01eca6-43d1-4e7c-a108-8fcf4adc4779","BART_002.tickPlot.tck","D01","BART","BART_002","distributed","deciduousForest",44.035231,-71.274674,"WGS84",20.2,502.6,0.3,"2014-08-25T17:53Z","BART.2014.34",NA,NA,"drag and flag",165,"N",0,0,0,NA,"NEON.DOC.014045vD","D01EME04","QC: No error EME","legacyData"
"19","b1ae1a0a-6934-4843-9038-4a4e8c3e3434","BART_010.tickPlot.tck","D01","BART","BART_010","distributed","deciduousForest",44.0511,-71.267766,"WGS84",20.2,413,0.4,"2014-08-25T17:56Z","BART.2014.34",NA,NA,"drag and flag",162,"N",0,0,0,NA,"NEON.DOC.014045vD","D01JRS08","QC: No error EME","legacyData"
"20","80176194-2420-4e54-9153-78dc4be6cc7d","BART_019.tickPlot.tck","D01","BART","BART_019","distributed","mixedForest",44.06935,-71.288001,"WGS84",20.2,231.8,0.2,"2014-08-26T17:46Z","BART.2014.34",NA,NA,"drag and flag",163,"N",0,0,0,NA,"NEON.DOC.014045vD","D01JRS08","","legacyData"
"21","08eacdee-040a-404b-93d7-3bf25b8e8c3e","BART_011.tickPlot.tck","D01","BART","BART_011","distributed","mixedForest",44.048783,-71.295353,"WGS84",20.2,399.5,0.2,"2014-08-27T17:45Z","BART.2014.34",NA,NA,"drag and flag",163,"N",0,0,0,NA,"NEON.DOC.014045vD","D01CAB21","QC: No error EME","legacyData"
"22","40391fa6-71eb-41b0-b400-6dd9dbd9e14e","BART_015.tickPlot.tck","D01","BART","BART_015","distributed","mixedForest",44.042149,-71.271603,"WGS84",20.3,455,0.5,"2014-08-27T17:47Z","BART.2014.34",NA,NA,"drag and flag",160,"N",0,0,0,NA,"NEON.DOC.014045vD","D01ECM19","QC: No error EME","legacyData"
"23","90982ca2-93cc-4cbc-af92-6b842766853c","BART_019.tickPlot.tck","D01","BART","BART_019","distributed","mixedForest",44.06935,-71.288001,"WGS84",20.2,231.8,0.2,"2014-09-23T18:13Z","BART.2014.38",NA,NA,"drag and flag",163,"N",0,0,0,NA,"NEON.DOC.014045vD","D01EME04","QC: No errors EH","legacyData"
